Category,Folder_Path,File_Name,File_Type,Description,Status,Purpose,Dependencies,Size_Category,Last_Modified
Specs_Production,specs/final/code,Euro_2024_Event_Types_Map.csv,Documentation,Event types mapping,Production,Data Documentation,None,Medium,2025-01-07
Specs_Production,specs/final/code,Euro_2024_Key_Connections.csv,Documentation,Key connections documentation,Production,Data Documentation,None,Medium,2025-01-07
Specs_Production,specs/final/code,Data Retrieval Protocol.csv,Documentation,Data retrieval protocol,Production,Data Documentation,None,Medium,2025-01-07
Specs_Production,specs/final/code,Open Data Events v4.0.0.pdf,Documentation,StatsBomb open data events documentation,Production,Data Documentation,None,Large,2025-01-07

Specs_Experiments,specs/experiments,README.md,Documentation,Experimental specifications documentation,Experimental,Project Documentation,None,Medium,2025-01-07
Specs_Experiments,specs/experiments/code,cursor_project_journey_overview_and_ins.md,Documentation,Project journey overview and insights,Experimental,Project Documentation,None,Large,2025-01-07
Specs_Experiments,specs/experiments/code,cursor_project_overview_from_a_to_z.md,Documentation,Project overview from A to Z,Experimental,Project Documentation,None,Large,2025-01-07

Models_Production,models/final,README.md,Documentation,Production models documentation,Production,Model Documentation,None,Medium,2025-01-07
Models_Experiments,models/experiments,README.md,Documentation,Experimental models documentation,Experimental,Model Documentation,None,Medium,2025-01-07

Additional_Folders,EDA,README.md,Documentation,Exploratory Data Analysis documentation,Production,EDA Documentation,None,Medium,2025-01-07
Additional_Folders,Conversations,README.md,Documentation,Project conversations documentation,Production,Conversation Documentation,None,Medium,2025-01-07
Additional_Folders,thoughts,eda_insights.csv,Documentation,EDA insights tracking,Production,Insight Documentation,None,Small,2025-01-07
Additional_Folders,images,pitch_coordinates.PNG,Image,Pitch coordinates visualization,Production,Visualization,None,Small,2025-01-07
Additional_Folders,images,Download-Printable-Euro-2024-Wall-Chart-for-Free.pdf,Document,Euro 2024 wall chart,Production,Reference,None,Medium,2025-01-07 
